id,cast,crew
654754,"[{'cast_id': 2413513, 'name': 'Billie Eilish', 'character': 'Self'}, {'cast_id': 1396403, 'name': ""Finneas O'Connell"", 'character': 'Self'}, {'cast_id': 1219812, 'name': 'Maggie Baird', 'character': 'Self'}, {'cast_id': 150810, 'name': 'Justin Bieber', 'character': 'Self'}, {'cast_id': 114, 'name': 'Orlando Bloom', 'character': 'Self'}]","[{'crew_id': 89814, 'name': 'R.J. Cutler', 'department': 'Directing', 'job': 'Director'}]"
120,"[{'cast_id': 109, 'name': 'Elijah Wood', 'character': 'Frodo'}, {'cast_id': 1327, 'name': 'Ian McKellen', 'character': 'Gandalf'}, {'cast_id': 882, 'name': 'Liv Tyler', 'character': 'Arwen'}, {'cast_id': 110, 'name': 'Viggo Mortensen', 'character': 'Aragorn'}, {'cast_id': 1328, 'name': 'Sean Astin', 'character': 'Sam'}]","[{'crew_id': 108, 'name': 'Peter Jackson', 'department': 'Directing', 'job': 'Director'}]"
550,"[{'cast_id': 819, 'name': 'Edward Norton', 'character': 'The Narrator'}, {'cast_id': 287, 'name': 'Brad Pitt', 'character': 'Tyler Durden'}, {'cast_id': 1283, 'name': 'Helena Bonham Carter', 'character': 'Marla Singer'}, {'cast_id': 7470, 'name': 'Meat Loaf', 'character': 'Robert ""Bob"" Paulson'}, {'cast_id': 7499, 'name': 'Jared Leto', 'character': 'Angel Face'}]","[{'crew_id': 7467, 'name': 'David Fincher', 'department': 'Directing', 'job': 'Director'}]"
244786,"[{'cast_id': 996701, 'name': 'Miles Teller', 'character': 'Andrew Neiman'}, {'cast_id': 18999, 'name': 'J.K. Simmons', 'character': 'Terence Fletcher'}, {'cast_id': 781, 'name': 'Paul Reiser', 'character': 'Jim Neiman'}, {'cast_id': 129104, 'name': 'Melissa Benoist', 'character': 'Nicole'}, {'cast_id': 970216, 'name': 'Austin Stowell', 'character': 'Ryan Connolly'}]","[{'crew_id': 136495, 'name': 'Damien Chazelle', 'department': 'Directing', 'job': 'Director'}]"
27205,"[{'cast_id': 6193, 'name': 'Leonardo DiCaprio', 'character': 'Dom Cobb'}, {'cast_id': 24045, 'name': 'Joseph Gordon-Levitt', 'character': 'Arthur'}, {'cast_id': 3899, 'name': 'Ken Watanabe', 'character': 'Saito'}, {'cast_id': 2524, 'name': 'Tom Hardy', 'character': 'Eames'}, {'cast_id': 27578, 'name': 'Elliot Page', 'character': 'Ariadne'}]","[{'crew_id': 525, 'name': 'Christopher Nolan', 'department': 'Directing', 'job': 'Director'}]"
770156,"[{'cast_id': 2643437, 'name': 'Scarlett Diamond', 'character': 'Lucy Shimmers'}, {'cast_id': 2875508, 'name': 'Adam Hightower', 'character': 'James Shimmers'}, {'cast_id': 2430234, 'name': 'Vincent Vargas', 'character': 'Edgar Ruiz'}, {'cast_id': 2755969, 'name': 'Tara Berrett', 'character': 'April Shimmers'}, {'cast_id': 3966921, 'name': 'Madison Bills', 'character': 'Nurse Max'}]","[{'crew_id': 222497, 'name': 'Rob Diamond', 'department': 'Directing', 'job': 'Director'}]"
807,"[{'cast_id': 287, 'name': 'Brad Pitt', 'character': 'Detective David Mills'}, {'cast_id': 192, 'name': 'Morgan Freeman', 'character': 'Detective Lt. William Somerset'}, {'cast_id': 12052, 'name': 'Gwyneth Paltrow', 'character': 'Tracy Mills'}, {'cast_id': 8655, 'name': 'R. Lee Ermey', 'character': 'Police Captain'}, {'cast_id': 11885, 'name': 'John C. McGinley', 'character': 'California'}]","[{'crew_id': 7467, 'name': 'David Fincher', 'department': 'Directing', 'job': 'Director'}]"
761053,"[{'cast_id': 1312450, 'name': 'Melanie Zanetti', 'character': 'Julia Mitchell'}, {'cast_id': 544002, 'name': 'Giulio Berruti', 'character': 'Gabriel Emerson'}, {'cast_id': 1844204, 'name': 'Rhett Wellington', 'character': 'Simon Talbot'}, {'cast_id': 2345991, 'name': 'James Andrew Fraser', 'character': 'Paul Norris'}, {'cast_id': 2595115, 'name': 'Margaux Brooke', 'character': 'Christa Peterson'}]","[{'crew_id': 935563, 'name': 'Tosca Musk', 'department': 'Directing', 'job': 'Director'}]"
567,"[{'cast_id': 854, 'name': 'James Stewart', 'character': ""L.B. 'Jeff' Jefferies""}, {'cast_id': 4070, 'name': 'Grace Kelly', 'character': 'Lisa Fremont'}, {'cast_id': 7684, 'name': 'Thelma Ritter', 'character': 'Stella'}, {'cast_id': 7683, 'name': 'Wendell Corey', 'character': 'Det. Lt. Thomas J. Doyle'}, {'cast_id': 7685, 'name': 'Raymond Burr', 'character': 'Lars Thorwald'}]","[{'crew_id': 2636, 'name': 'Alfred Hitchcock', 'department': 'Directing', 'job': 'Director'}]"
599,"[{'cast_id': 8252, 'name': 'William Holden', 'character': 'Joe Gillis'}, {'cast_id': 8629, 'name': 'Gloria Swanson', 'character': 'Norma Desmond'}, {'cast_id': 8630, 'name': 'Erich von Stroheim', 'character': 'Max von Mayerling'}, {'cast_id': 8631, 'name': 'Nancy Olson', 'character': 'Betty Schaefer'}, {'cast_id': 8632, 'name': 'Fred Clark', 'character': 'Sheldrake'}]","[{'crew_id': 3146, 'name': 'Billy Wilder', 'department': 'Directing', 'job': 'Director'}]"
